Codigo;Valor
7;TRABALHADORES QUALIFICADOS, OPERÁRIOS E ARTESÃOS DA CONSTRUÇÃO, DAS ARTES MECÂNICAS E OUTROS OFÍCIOS
71;TRABALHADORES QUALIFICADOS E OPERÁRIOS DA CONSTRUÇÃO EXCLUSIVE ELETRICISTAS
711;TRABALHADORES DA CONSTRUÇÃO CIVIL EM OBRAS ESTRUTURAIS
7111;CONSTRUTORES DE CASAS
7112;PEDREIROS
7113;CANTEIROS, CORTADORES E GRAVADORES DE PEDRAS
7114;TRABALHADORES EM CIMENTO E CONCRETO ARMADO
7115;CARPINTEIROS
7119;OUTROS TRABALHADORES QUALIFICADOS E OPERÁRIOS DA CONSTRUÇÃO NÃO CLASSIFICADOS ANTERIORMENTE
712;TRABALHADORES QUALIFICADOS DA CONSTRUÇÃO (ACABAMENTO)
7121;TELHADORES
7122;APLICADORES DE REVESTIMENTOS CERÂMICOS, PASTILHAS, PEDRAS E MADEIRAS
7123;GESSEIROS
7124;INSTALADORES DE MATERIAL ISOLANTE TÉRMICO E ACÚSTICO
7125;VIDRACEIROS
7126;BOMBEIROS E ENCANADORES
7127;MECÂNICOS-INSTALADORES DE SISTEMAS DE REFRIGERAÇÃO E CLIMATIZAÇÃO
713;PINTORES, LIMPADORES DE FACHADAS E AFINS
7131;PINTORES E EMPAPELADORES
7132;LUSTRADORES
7133;LIMPADORES DE FACHADAS 
72;TRABALHADORES QUALIFICADOS E OPERÁRIOS DA METALURGIA, DA CONSTRUÇÃO MECÂNICA E AFINS
721;MOLDADORES, SOLDADORES, CHAPISTAS, CALDEIREIROS, MONTADORES DE ESTRUTURAS METÁLICAS E AFINS
7211;MOLDADORES DE METAL E MACHEIROS
7212;SOLDADORES E OXICORTADORES
7213;CHAPISTAS E CALDEIREIROS
7214;MONTADORES DE ESTRUTURAS METÁLICAS
7215;APARELHADORES E EMENDADORES DE CABOS
722;FERREIROS, FERRAMENTEIROS E AFINS
7221;FERREIROS E FORJADORES
7222;FERRAMENTEIROS E AFINS
7223;REGULADORES E OPERADORES DE MÁQUINAS-FERRAMENTAS
7224;POLIDORES DE METAIS E AFIADORES DE FERRAMENTAS
723;MECÂNICOS E REPARADORES DE MÁQUINAS
7231;MECÂNICOS E REPARADORES DE VEÍCULOS A MOTOR
7232;MECÂNICOS E REPARADORES DE MOTORES DE AVIÃO
7233;MECÂNICOS E REPARADORES DE MÁQUINAS AGRÍCOLAS E INDUSTRIAIS
7234;REPARADORES DE BICICLETAS E AFINS
73;ARTESÃOS E OPERÁRIOS DAS ARTES GRÁFICAS
731;ARTESÃOS 
7311;MECÂNICOS E REPARADORES DE INSTRUMENTOS DE PRECISÃO
7312;CONFECCIONADORES E AFINADORES DE INSTRUMENTOS MUSICAIS
7313;JOALHEIROS E LAPIDADORES DE GEMAS, ARTESÃOS DE METAIS PRECIOSOS E SEMIPRECIOSOS 
7314;CERAMISTAS E AFINS (PREPARAÇÃO E FABRICAÇÃO)
7315;CORTADORES, POLIDORES, JATEADORES E GRAVADORES DE VIDROS E AFINS 
7316;REDATORES DE CARTAZES, PINTORES DECORATIVOS E GRAVADORES 
7317;ARTESÃOS DE PEDRA, MADEIRA, VIME E MATERIAIS SEMELHANTES
7318;ARTESÃOS DE TECIDOS, COUROS E MATERIAIS SEMELHANTES
7319;ARTESÃOS NÃO CLASSIFICADOS ANTERIORMENTE
732;TRABALHADORES QUALIFICADOS E OPERÁRIOS DAS ARTES GRÁFICAS
7321;TRABALHADORES DA PRÉ-IMPRESSÃO GRÁFICA 
7322;IMPRESSORES
7323;ENCADERNADORES E AFINS
74;TRABALHADORES ESPECIALIZADOS EM ELETRICIDADE E ELETRÔNICA
741;INSTALADORES E REPARADORES DE EQUIPAMENTOS ELÉTRICOS
7411;ELETRICISTAS DE OBRAS E AFINS
7412;MECÂNICOS E AJUSTADORES ELETRICISTAS
7413;INSTALADORES E REPARADORES DE LINHAS ELÉTRICAS
742;INSTALADORES E REPARADORES DE EQUIPAMENTOS ELETRÔNICOS E DE TELECOMUNICAÇÕES
7421;MECÂNICOS E REPARADORES EM ELETRÔNICA
7422;INSTALADORES E REPARADORES EM TECNOLOGIAS DA INFORMAÇÃO E COMUNICAÇÕES
75;OPERÁRIOS E OFICIAIS DE PROCESSAMENTO DE ALIMENTOS, DA MADEIRA, DA CONFECÇÃO E AFINS
751;TRABALHADORES QUALIFICADOS DO PROCESSAMENTO DE ALIMENTOS E AFINS
7511;MAGAREFES E AFINS 
7512;PADEIROS, CONFEITEIROS E AFINS 
7513;TRABALHADORES DA PASTEURIZAÇÃO DO LEITE E FABRICAÇÃO DE LATICÍNIOS E AFINS 
7514;TRABALHADORES DA CONSERVAÇÃO DE FRUTAS, LEGUMES E SIMILARES 
7515;TRABALHADORES DA DEGUSTAÇÃO E CLASSIFICAÇÃO DE ALIMENTOS E BEBIDAS
7516;TRABALHADORES QUALIFICADOS DA PREPARAÇÃO DO FUMO E SEUS PRODUTOS 
752;TRABALHADORES QUALIFICADOS DO TRATAMENTO DA MADEIRA, MARCENEIROS E AFINS
7521;TRABALHADORES DE TRATAMENTO E PREPARAÇÃO DA MADEIRA 
7522;MARCENEIROS E AFINS 
7523;OPERADORES DE MÁQUINAS DE LAVRAR MADEIRA 
753;TRABALHADORES QUALIFICADOS E OPERÁRIOS DA CONFECÇÃO DE ROUPAS, CALÇADOS E ACESSÓRIOS
7531;ALFAIATES, MODISTAS, CHAPELEIROS E PELETEIROS
7532;TRABALHADORES QUALIFICADOS DA PREPARAÇÃO DA CONFECÇÃO DE ROUPAS
7533;COSTUREIROS, BORDADEIROS E AFINS
7534;TAPECEIROS, COLCHOEIROS E AFINS
7535;TRABALHADORES QUALIFICADOS DO TRATAMENTO DE COUROS E PELES
7536;SAPATEIROS E AFINS
754;OUTROS TRABALHADORES QUALIFICADOS E OPERÁRIOS DA INDÚSTRIA E DO ARTESANATO
7541;TRABALHADORES SUBAQUÁTICOS 
7542;DINAMITADORES E DETONADORES
7543;CLASSIFICADORES E PROVADORES DE PRODUTOS (EXCETO DE BEBIDAS E ALIMENTOS)
7544;FUMIGADORES E OUTROS CONTROLADORES DE PRAGAS E ERVAS DANINHAS
7549;OUTROS TRABALHADORES QUALIFICADOS E OPERÁRIOS DA INDÚSTRIA E DO ARTESANATO NÃO CLASSIFICADOS ANTERIORMENTE
8;OPERADORES DE INSTALAÇÕES E MÁQUINAS E MONTADORES
81;OPERADORES DE INSTALAÇÕES FIXAS E MÁQUINAS
811;OPERADORES DE INSTALAÇÕES MINERADORAS E DE EXTRAÇÃO E PROCESSAMENTO DE MINERAIS
8111;MINEIROS E OPERADORES DE MÁQUINAS E DE INSTALAÇÕES EM MINAS E PEDREIRAS
8112;OPERADORES DE INSTALAÇÕES DE PROCESSAMENTO DE MINERAIS E ROCHAS
8113;PERFURADORES E SONDADORES DE POÇOS E AFINS 
8114;OPERADORES DE MÁQUINAS PARA FABRICAR CIMENTO, PEDRAS E OUTROS PRODUTOS MINERAIS
812;OPERADORES DE INSTALAÇÕES DE PROCESSAMENTO E RECOBRIDORAS DE METAIS
8121;OPERADORES DE INSTALAÇÕES DE PROCESSAMENTO DE METAIS
8122;OPERADORES DE MÁQUINAS POLIDORAS, GALVANIZADORAS E RECOBRIDORAS DE METAIS
813;OPERADORES DE INSTALAÇÕES E MÁQUINAS DE PRODUTOS QUÍMICOS E FOTOGRÁFICOS
8131;OPERADORES DE INSTALAÇÕES E MÁQUINAS DE PRODUTOS QUÍMICOS 
8132;OPERADORES DE MÁQUINAS PARA FABRICAR PRODUTOS FOTOGRÁFICOS 
814;OPERADORES DE MÁQUINAS PARA FABRICAR PRODUTOS DE BORRACHA, DE PAPEL E DE MATERIAL PLÁSTICO
8141;OPERADORES DE MÁQUINAS PARA FABRICAR PRODUTOS DE BORRACHA
8142;OPERADORES DE MÁQUINAS PARA FABRICAR PRODUTOS DE MATERIAL PLÁSTICO
8143;OPERADORES DE MÁQUINAS PARA FABRICAR PRODUTOS DE PAPEL 
815;OPERADORES DE MÁQUINAS PARA FABRICAR PRODUTOS DE TÊXTEIS E ARTIGOS DE COURO E PELE
8151;OPERADORES DE MÁQUINAS DE PREPARAÇÃO DE FIBRAS, FIAÇÃO E BOBINAMENTO DE FIOS
8152;OPERADORES DE TEARES E OUTRAS MÁQUINAS DE TECELAGEM
8153;OPERADORES DE MÁQUINAS DE COSTURA
8154;OPERADORES DE MÁQUINAS DE BRANQUEAMENTO, TINGIMENTO E LIMPEZA DE TECIDOS
8155;OPERADORES DE MÁQUINAS DE PROCESSAMENTO DE COUROS E PELES
8156;OPERADORES DE MÁQUINAS PARA FABRICAÇÃO DE CALÇADOS E AFINS
8157;OPERADORES DE MÁQUINAS DE LAVAR, TINGIR E PASSAR ROUPAS
8159;OPERADORES DE MÁQUINAS PARA FABRICAR PRODUTOS TÊXTEIS E ARTIGOS DE COURO E PELE NÃO CLASSIFICADOS ANTERIORMENTE
816;OPERADORES DE MÁQUINAS PARA ELABORAR ALIMENTOS E PRODUTOS AFINS
8160;OPERADORES DE MÁQUINAS PARA ELABORAR ALIMENTOS E PRODUTOS AFINS
817;OPERADORES DE INSTALAÇÕES PARA A PREPARAÇÃO DE PAPEL E DE PROCESSAMENTO DE MADEIRA
8171;OPERADORES DE INSTALAÇÕES PARA A PREPARAÇÃO DE PASTA DE PAPEL E PAPEL
8172;OPERADORES DE INSTALAÇÕES PARA PROCESSAMENTO DE MADEIRA
818;OUTROS OPERADORES DE INSTALAÇÕES FIXAS E MÁQUINAS    
8181;OPERADORES DE INSTALAÇÕES DE VIDRARIA E CERÂMICA   
8182;OPERADORES DE MÁQUINAS DE VAPOR E CALDEIRAS
8183;OPERADORES DE MÁQUINAS DE EMBALAGEM, ENGARRAFAMENTO E ETIQUETAGEM
8189;OPERADORES DE MÁQUINAS E DE INSTALAÇÕES FIXAS NÃO CLASSIFICADOS ANTERIORMENTE
82;MONTADORES
821;MONTADORES
8211;MECÂNICOS MONTADORES DE MAQUINARIA MECÂNICA
8212;MONTADORES DE EQUIPAMENTOS ELÉTRICOS E ELETRÔNICOS
8219;MONTADORES NÃO CLASSIFICADOS ANTERIORMENTE
83;CONDUTORES DE VEÍCULOS E OPERADORES DE EQUIPAMENTOS MÓVEIS PESADOS
831;MAQUINISTAS DE LOCOMOTIVAS E AFINS
8311;MAQUINISTAS DE LOCOMOTIVAS 
8312;GUARDA-FREIOS E AGENTES DE MANOBRAS
832;CONDUTORES DE AUTOMÓVEIS, CAMINHONETES E MOTOCICLETAS
8321;CONDUTORES DE MOTOCICLETAS
8322;CONDUTORES DE AUTOMÓVEIS, TAXIS E CAMINHONETES
833;CONDUTORES DE CAMINHÕES PESADOS E ÔNIBUS
8331;CONDUTORES DE ÔNIBUS E BONDES
8332;CONDUTORES DE CAMINHÕES PESADOS
834;OPERADORES DE EQUIPAMENTOS MÓVEIS PESADOS
8341;OPERADORES DE MÁQUINAS AGRÍCOLAS E FLORESTAIS MÓVEIS
8342;OPERADORES DE MÁQUINAS DE MOVIMENTAÇÃO DE TERRAS E AFINS
8343;OPERADORES DE GUINDASTES, GRUAS, APARATOS DE ELEVAÇÃO E AFINS
8344;OPERADORES DE EMPILHADEIRAS
835;MARINHEIROS DE COBERTA E AFINS
8350;MARINHEIROS DE COBERTA E AFINS
9;OCUPAÇÕES ELEMENTARES
91;TRABALHADORES DOMÉSTICOS E OUTROS TRABALHADORES DE LIMPEZA DE INTERIOR DE EDIFÍCIOS
911;TRABALHADORES DOMÉSTICOS E OUTROS TRABALHADORES DE LIMPEZA DE INTERIOR DE EDIFÍCIOS
9111;TRABALHADORES DOS SERVIÇOS DOMÉSTICOS EM GERAL 
9112;TRABALHADORES DE LIMPEZA DE INTERIOR DE EDIFÍCIOS, ESCRITÓRIOS, HOTÉIS E OUTROS ESTABELECIMENTOS
912;LAVADORES DE VEÍCULOS, JANELAS, ROUPAS E OUTRAS LIMPEZAS  MANUAIS
9121;LAVADEIROS DE ROUPAS E PASSADEIROS MANUAIS
9122;LAVADORES DE VEÍCULOS
9123;LIMPADORES DE JANELAS
9129;OUTROS TRABALHADORES DE LIMPEZA
92;TRABALHADORES ELEMENTARES DA AGROPECUÁRIA, DA PESCA E FLORESTAIS 
921;TRABALHADORES ELEMENTARES DA AGROPECUÁRIA, DA PESCA E FLORESTAIS 
9211;TRABALHADORES ELEMENTARES DA AGRICULTURA 
9212;TRABALHADORES ELEMENTARES DA PECUÁRIA 
9213;TRABALHADORES ELEMENTARES DA AGROPECUÁRIA
9214;TRABALHADORES ELEMENTARES DA JARDINAGEM E HORTICULTURA 
9215;TRABALHADORES FLORESTAIS ELEMENTARES
9216;TRABALHADORES ELEMENTARES DA CAÇA, PESCA E AQUICULTURA 
93;TRABALHADORES ELEMENTARES DA MINERAÇÃO, DA CONSTRUÇÃO, DA INDÚSTRIA DE TRANSFORMAÇÃO E DO TRANSPORTE
931;TRABALHADORES ELEMENTARES DA MINERAÇÃO E DA CONSTRUÇÃO
9311;TRABALHADORES ELEMENTARES DE MINAS E PEDREIRAS 
9312;TRABALHADORES ELEMENTARES DE OBRAS PÚBLICAS E DA MANUTENÇÃO DE ESTRADAS, REPRESAS E SIMILARES
9313;TRABALHADORES ELEMENTARES DA CONSTRUÇÃO DE EDIFÍCIOS
932;TRABALHADORES ELEMENTARES DA INDÚSTRIA DE TRANSFORMAÇÃO
9321; EMPACOTADORES MANUAIS
9329;TRABALHADORES ELEMENTARES DA INDÚSTRIA DE TRANSFORMAÇÃO NÃO CLASSIFICADOS ANTERIORMENTE
933;TRABALHADORES ELEMENTARES DO TRANSPORTE E ARMAZENAMENTO
9331;CONDUTORES DE VEÍCULOS ACIONADOS A PEDAL OU A BRAÇOS
9332;CONDUTORES DE VEÍCULOS E MÁQUINAS DE TRAÇÃO ANIMAL
9333;CARREGADORES
9334;REPOSITORES DE PRATELEIRAS
94;AJUDANTES DE PREPARAÇÃO DE ALIMENTOS
941;AJUDANTES DE PREPARAÇÃO DE ALIMENTOS
9411;PREPARADORES DE COMIDAS RÁPIDAS
9412;AJUDANTES DE COZINHA
95;TRABALHADORES AMBULANTES DOS SERVIÇOS E AFINS
951;TRABALHADORES AMBULANTES DOS SERVIÇOS E AFINS
9510;TRABALHADORES AMBULANTES DOS SERVIÇOS E AFINS
952;VENDEDORES AMBULANTES (EXCLUSIVE DE SERVIÇOS DE ALIMENTAÇÃO)
9520;VENDEDORES AMBULANTES (EXCLUSIVE DE SERVIÇOS DE ALIMENTAÇÃO)
96;COLETORES DE LIXO E OUTRAS OCUPAÇÕES ELEMENTARES
961;COLETORES DE LIXO              
9611;COLETORES DE LIXO E MATERIAL RECICLÁVEL
9612;CLASSIFICADORES DE RESÍDUOS
9613;VARREDORES E AFINS
962;OUTRAS OCUPAÇÕES ELEMENTARES
9621;MENSAGEIROS, CARREGADORES DE BAGAGENS E ENTREGADORES DE ENCOMENDAS
9622;PESSOAS QUE REALIZAM VÁRIAS TAREFAS
9623;COLETORES DE DINHEIRO EM MÁQUINAS AUTOMÁTICAS DE VENDA E LEITORES DE MEDIDORES
9624;CARREGADORES DE ÁGUA E COLETORES DE LENHA
9629;OUTRAS OCUPAÇÕES ELEMENTARES NÃO CLASSIFICADAS ANTERIORMENTE
0;MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES
01;OFICIAIS DAS FORÇAS ARMADAS
011;OFICIAIS DAS FORÇAS ARMADAS
0110;OFICIAIS DAS FORÇAS ARMADAS
02;GRADUADOS E PRAÇAS DAS FORÇAS ARMADAS
021;GRADUADOS E PRAÇAS DAS FORÇAS ARMADAS
0210;GRADUADOS E PRAÇAS DAS FORÇAS ARMADAS
299; MILITARES DAS FORÇAS ARMADAS NÃO ESPECIFICADOS
04;POLICIAIS MILITARES
041;POLICIAIS MILITARES
0411;OFICIAIS DE POLÍCIA MILITAR
0412;GRADUADOS E PRAÇAS DA POLÍCIA MILITAR
05;BOMBEIROS MILITARES
051;BOMBEIROS MILITARES
0511;OFICIAIS DE BOMBEIRO MILITAR
0512;GRADUADOS E PRAÇAS DO CORPO DE BOMBEIROS
599;BOMBEIROS E POLICIAIS MILITARES NÃO ESPECIFICADOS
999;MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES NÃO ESPECIFICADOS
0000;OCUPAÇÕES MALDEFINIDAS
